,original label,attacked label,original premise,original hypothesis,transformed,attack
0,1,0.0,"""""""Решение носит символический характер, так как взыскать компенсацию практически невозможно"""", - отмечается в сообщении.""",Взыскать компенсацию не получится.,Компенсации не будет требоваться.,succeeded
1,1,0.0,"Об этом вечером во вторник, 17 января, сообщила пресс-служба Спасательного департамента, отметив, что немецкую противотанковую мину Tellermine 42 обнаружили в на улице Кеэвисе в ходе земляных работ. Спасатели эвакуировали жителей окрестных домов, офисов и складских помещений. Уничтожать мину на месте не стали, поскольку это угрожало повреждению трассы трубопровода.",На улице Кеэвисе жителей эвакуировали из-за мины.,На улице Кевиса жители эвакуировали из-за шахт.,succeeded
2,1,0.0,"""В суде Центрального района Сочи завершилось рассмотрение уголовного дела в отношении 81-летнего местного жителя, который застрелил обидчика своей дочери. """"Степан Вагин приговорен к трем годам лишения свободы условно с испытательным сроком два года"""", - сообщил агентству """"Интерфакс-Юг"""" в пятницу адвокат подсудимого Илья Иванов. По его словам, суд сделал снисхождение пенсионеру, поскольку он является тружеником тыла и инвалидом второй группы, и назначил наказание """"ниже низшего предела"""".""",81-летний пенсионер застрелил обидчика дочери.,81-летний мужчина застрелил дочь.,succeeded
3,1,1.0,"""Кто-то нарисовал на снегу контур человеческого тела, как делают на месте убийств в сериалах о полиции, и подписал """"Осторожно!""""""",Кто-то изобразил на снегу контур человеческого тела.,На снегу изображен контур человеческого тела.,failed
4,1,1.0,"Также установлено, что работники учреждения несвоевременно проходят медицинский осмотр. Лекарственные препараты в медкабинете хранятся с нарушением температурного режима. Антитеррористическая защищенность детского сада не обеспечивается, так как заведующая учреждения не разработала ни одного локального акта в данной сфере.",В детском саду не все вовремя проходят медосмотр.,В детском саду не все проходит вовремя.,failed
5,1,1.0,"Таким образом, правящая коалиция получит большинство в обеих палатах, так как она уже занимает большинство мест в нижней палате.",Правящая коалиция может получить большинство в обеих палатах.,Правительственная коалиция может получить большинство в обеих палатах.,failed
6,1,1.0,"Кроме того, власти Грузии подписали на добровольной основе соглашения  о взаимопонимании, которые тоже полностью выполняют. Что касается отношений непосредственно с представителями грузинской власти, вы знаете, что наша миссия является миссией нейтральной и независимой от грузинских властей, но мы пытаемся, стремимся к тому, чтобы иметь наилучшие отношения со всеми участниками Женевских переговоров. Но, конечно, мы придаем большее внимание отношениям с грузинскими властями, так как были приглашены грузинским государством, и мы находимся на грузинской территории.",Власти Грузии полностью выполняют подписанные соглашения о взаимопонимании.,Власти Грузии полностью соблюдают подписанные соглашения.,failed
7,1,1.0,"Сотрудники МЧС извлекли его из воды, после чего мужчина рассказал о подробностях произошедшего. По словам потерпевшего, на него напали выходцы с Северного Кавказа. О причинах конфликта мужчина досказать не успел, так как потерял сознание.",Спасатели достали мужчину из воды.,Спасатели вывели человека из воды.,failed
8,1,1.0,"Мы уже говорили, что подрядчики не должны этого делать, все работы нужно выполнять своевременно. Такие работы оплачиваться не будут. Для нас приоритет – не освоение денег, а то, что мы получаем в итоге, – подчеркнул губернатор.",Результат для нас в приоритете.,Результат для нас в приоритетах.,failed
9,0,0.0,"""Отвечая на вопросы журналистов о возможной отмене нормы закона об обязательном наличии бесплатного дублера при строительстве платных дорог, вице-премьер подчеркнул, что """"это дискуссионная тема, которая была предложена экспертами"""". """"В правительстве пока осторожно относятся к данному предложению, которое нуждается в детальном изучении"""", - заявил Шувалов. По данным социологического исследования, вопрос платных автомобильных дорог большую часть россиян не волнует, так как они не имеют машин, а среди тех, у кого она есть, каждый пятый не намерен пользоваться такими трассами.""",У каждой платной дороги обязательно будет бесплатный дублер.,На каждой платной дороге обязательно будет бесплатный дублер.,failed
